sample_index,handshake_ms,client_stop_ms
1,1.5452000000095722,99.0249609999978
2,1.3180679999891254,99.32212400001106
3,1.298293999994371,99.25086500000191
4,1.557879999992906,98.97174500000006
5,1.478246999994326,99.11313499999608
6,1.4051219999942077,99.13685600000122
7,1.3233269999943786,99.25862100000415
8,1.4985709999990604,99.03383200000349
